school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,ARTS_AND_CRAFTS,第１　目　標,,,,,,"表現及び鑑賞の活動を通して，造形的な見方・考え方を働かせ，生活や社会の
中の形や色などと豊かに関わる資質・能力を次のとおり育成することを目指す。",129
elementary,ARTS_AND_CRAFTS,第１　目　標,,,,⑴,,"⑴　対象や事象を捉える造形的な視点について自分の感覚や行為を通して理解
するとともに，材料や用具を使い，表し方などを工夫して，創造的につくっ
たり表したりすることができるようにする。",129
elementary,ARTS_AND_CRAFTS,第１　目　標,,,,⑵,,"⑵　造形的なよさや美しさ，表したいこと，表し方などについて考え，創造的
に発想や構想をしたり，作品などに対する自分の見方や感じ方を深めたりす
ることができるようにする。",129
elementary,ARTS_AND_CRAFTS,第１　目　標,,,,⑶,,"⑶　つくりだす喜びを味わうとともに，感性を育み，楽しく豊かな生活を創造
しようとする態度を養い，豊かな情操を培う。",129
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標,,⑴,,"⑴ 対象や事象を捉える造形的な視点について自分の感覚や行為を通して気
付くとともに，手や体全体の感覚などを働かせ材料や用具を使い，表し方
などを工夫して，創造的につくったり表したりすることができるようにす",129
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標,,⑵,,"⑵ 造形的な面白さや楽しさ，表したいこと，表し方などについて考え，楽
しく発想や構想をしたり，身の回りの作品などから自分の見方や感じ方を
広げたりすることができるようにする。",129
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標,,⑶,,"⑶ 楽しく表現したり鑑賞したりする活動に取り組み，つくりだす喜びを味
わうとともに，形や色などに関わり楽しい生活を創造しようとする態度を",129
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,,"⑴ 表現の活動を通して，発想や構想に関する次の事項を身に付けることが
できるよう指導する。",129
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,ア,"ア 造形遊びをする活動を通して，身近な自然物や人工の材料の形や色
などを基に造形的な活動を思い付くことや，感覚や気持ちを生かしなが
ら，どのように活動するかについて考えること。",129
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,イ,"イ 絵や立体，工作に表す活動を通して，感じたこと，想像したことか
ら，表したいことを見付けることや，好きな形や色を選んだり，いろい
ろな形や色を考えたりしながら，どのように表すかについて考えるこ",130
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,,"⑵ 表現の活動を通して，技能に関する次の事項を身に付けることができる
よう指導する。",130
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,ア,"ア 造形遊びをする活動を通して，身近で扱いやすい材料や用具に十分に
慣れるとともに，並べたり，つないだり，積んだりするなど手や体全体
の感覚などを働かせ，活動を工夫してつくること。",130
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,イ,"イ 絵や立体，工作に表す活動を通して，身近で扱いやすい材料や用具に
十分に慣れるとともに，手や体全体の感覚などを働かせ，表したいこと
を基に表し方を工夫して表すこと。",130
elementary,ARTS_AND_CRAFTS,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　鑑　賞,⑴,,⑴ 鑑賞の活動を通して，次の事項を身に付けることができるよう指導す,130
