school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,FOREIGN_LANGUAGE,第１　目　標,,,,,,"外国語によるコミュニケーションにおける見方・考え方を働かせ，外国語によ
る聞くこと，読むこと，話すこと，書くことの言語活動を通して，コミュニケー
ションを図る基礎となる資質・能力を次のとおり育成することを目指す。",156
elementary,FOREIGN_LANGUAGE,第１　目　標,,,,⑴,,"⑴　外国語の音声や文字，語彙，表現，文構造，言語の働きなどについて，日
本語と外国語との違いに気付き，これらの知識を理解するとともに，読むこ
と，書くことに慣れ親しみ，聞くこと，読むこと，話すこと，書くことによ
る実際のコミュニケーションにおいて活用できる基礎的な技能を身に付ける
ようにする。",156
elementary,FOREIGN_LANGUAGE,第１　目　標,,,,⑵,,"⑵　コミュニケーションを行う目的や場面，状況などに応じて，身近で簡単な
事柄について，聞いたり話したりするとともに，音声で十分に慣れ親しんだ
外国語の語彙や基本的な表現を推測しながら読んだり，語順を意識しながら
書いたりして，自分の考えや気持ちなどを伝え合うことができる基礎的な力
を養う。",156
elementary,FOREIGN_LANGUAGE,第１　目　標,,,,⑶,,"⑶　外国語の背景にある文化に対する理解を深め，他者に配慮しながら，主体
的に外国語を用いてコミュニケーションを図ろうとする態度を養う。",156
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,,,"英語学習の特質を踏まえ，以下に示す，聞くこと，読むこと，話すこと
［やり取り］，話すこと［発表］，書くことの五つの領域別に設定する目標の
実現を目指した指導を通して，第１の⑴及び⑵に示す資質・能力を一体的に
育成するとともに，その過程を通して，第１の⑶に示す資質・能力を育成す
る。",156
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑴,,⑴　聞くこと,156
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑴,ア,"ア ゆっくりはっきりと話されれば，自分のことや身近で簡単な事柄につ
いて，簡単な語句や基本的な表現を聞き取ることができるようにする。",156
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑴,イ,"イ ゆっくりはっきりと話されれば，日常生活に関する身近で簡単な事柄
について，具体的な情報を聞き取ることができるようにする。",156
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑴,ウ,ウ ゆっくりはっきりと話されれば，日常生活に関する身近で簡単な事柄について，短い話の概要を捉えることができるようにする。,156
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑵　,,⑵　読むこと,157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑵　,ア,"ア 活字体で書かれた文字を識別し，その読み方を発音することができる
ようにする。",157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑵　,イ,"イ 音声で十分に慣れ親しんだ簡単な語句や基本的な表現の意味が分かる
ようにする。",157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑶,,⑶　話すこと［やり取り］,157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑶,ア,"ア 基本的な表現を用いて指示，依頼をしたり，それらに応じたりするこ
とができるようにする。",157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑶,イ,"イ 日常生活に関する身近で簡単な事柄について，自分の考えや気持ちな
どを，簡単な語句や基本的な表現を用いて伝え合うことができるように
する。",157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑶,ウ,"ウ 自分や相手のこと及び身の回りの物に関する事柄について，簡単な語
句や基本的な表現を用いてその場で質問をしたり質問に答えたりして，
伝え合うことができるようにする。",157
elementary,FOREIGN_LANGUAGE,第２　各言語の目標及び内容等,,１　目　標,,⑷,,⑷　話すこと［発表］,157
