school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第１　目　標,,,,,,"外国語によるコミュニケーションにおける見方・考え方を働かせ，外国語によ
る聞くこと，話すことの言語活動を通して，コミュニケーションを図る素地となる資質・能力を次のとおり育成することを目指す。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第１　目　標,,,,⑴,,"⑴　外国語を通して，言語や文化について体験的に理解を深め，日本語と外国
語との音声の違い等に気付くとともに，外国語の音声や基本的な表現に慣れ
親しむようにする。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第１　目　標,,,,⑵,,"⑵　身近で簡単な事柄について，外国語で聞いたり話したりして自分の考えや
気持ちなどを伝え合う力の素地を養う。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第１　目　標,,,,⑶,,"⑶　外国語を通して，言語やその背景にある文化に対する理解を深め，相手に
配慮しながら，主体的に外国語を用いてコミュニケーションを図ろうとする
態度を養う。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,,,"英語学習の特質を踏まえ，以下に示す，聞くこと，話すこと［やり取り］，
話すこと［発表］の三つの領域別に設定する目標の実現を目指した指導を通
して，第１の⑴及び⑵に示す資質・能力を一体的に育成するとともに，その
過程を通して，第１の⑶に示す資質・能力を育成する。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑴,,⑴　聞くこと,173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑴,ア,"ア ゆっくりはっきりと話された際に，自分のことや身の回りの物を表す
簡単な語句を聞き取るようにする。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑴,イ,"イ ゆっくりはっきりと話された際に，身近で簡単な事柄に関する基本的
な表現の意味が分かるようにする。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑴,ウ,"ウ 文字の読み方が発音されるのを聞いた際に，どの文字であるかが分か
るようにする。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑵,,⑵　話すこと［やり取り］,173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑵,ア,"ア 基本的な表現を用いて挨拶，感謝，簡単な指示をしたり，それらに応
じたりするようにする。",173
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑵,イ,"イ 自分のことや身の回りの物について，動作を交えながら，自分の考えや気持ちなどを，簡単な語句や基本的な表現を用いて伝え合うようにす
る。",174
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑵,ウ,"ウ サポートを受けて，自分や相手のこと及び身の回りの物に関する事柄
について，簡単な語句や基本的な表現を用いて質問をしたり質問に答え
たりするようにする。",174
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑶,,⑶　話すこと［発表］,174
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑶,ア,"ア 身の回りの物について，人前で実物などを見せながら，簡単な語句や
基本的な表現を用いて話すようにする。",174
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑶,イ,"イ 自分のことについて，人前で実物などを見せながら，簡単な語句や基
本的な表現を用いて話すようにする。",174
elementary,FOREIGN_LANGUAGE_ACTIBITIES,第２　各言語の目標及び内容等,英　語,１　目　標,,⑶,ウ,"ウ　日常生活に関する身近で簡単な事柄について，人前で実物などを見せ
ながら，自分の考えや気持ちなどを，簡単な語句や基本的な表現を用い
て話すようにする。",174
