school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,HOME_ECONOMICS,第１　目　標,,,,,,"生活の営みに係る見方・考え方を働かせ，衣食住などに関する実践的・体験的
な活動を通して，生活をよりよくしようと工夫する資質・能力を次のとおり育成
することを目指す。",136
elementary,HOME_ECONOMICS,第１　目　標,,,,⑴,,"⑴　家族や家庭，衣食住，消費や環境などについて，日常生活に必要な基礎的
な理解を図るとともに，それらに係る技能を身に付けるようにする。",136
elementary,HOME_ECONOMICS,第１　目　標,,,,⑵,,"⑵　日常生活の中から問題を見いだして課題を設定し，様々な解決方法を考
え，実践を評価・改善し，考えたことを表現するなど，課題を解決する力を
養う。",136
elementary,HOME_ECONOMICS,第１　目　標,,,,⑶,,"⑶　家庭生活を大切にする心情を育み，家族や地域の人々との関わりを考え，
家族の一員として，生活をよりよくしようと工夫する実践的な態度を養う。",136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,,,"次の⑴から⑷までの項目について，課題をもって，家族や地域の人々と協
力し，よりよい家庭生活に向けて考え，工夫する活動を通して，次の事項を
身に付けることができるよう指導する。",136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑴,,⑴　自分の成長と家族・家庭生活,136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑴,ア,"ア　自分の成長を自覚し，家庭生活と家族の大切さや家庭生活が家族の協
力によって営まれていることに気付くこと。",136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑵,,⑵　家庭生活と仕事,136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑵,ア,"ア　家庭には，家庭生活を支える仕事があり，互いに協力し分担する必要
があることや生活時間の有効な使い方について理解すること。",136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑵,イ,イ　家庭の仕事の計画を考え，工夫すること。,136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑶,,⑶　家族や地域の人々との関わり,136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑶,ア,"ア　次のような知識を身に付けること。
（ア）　家族との触れ合いや団らんの大切さについて理解すること。
（イ）　家庭生活は地域の人々との関わりで成り立っていることが分かり，
地域の人々との協力が大切であることを理解すること。",136
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑶,イ,イ　家族や地域の人々とのよりよい関わりについて考え，工夫すること。,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑷,,⑷　家族・家庭生活についての課題と実践,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ａ　家族・家庭生活,⑷,ア,"ア　日常生活の中から問題を見いだして課題を設定し，よりよい生活を考
え，計画を立てて実践できること。",137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,,,"次の⑴から⑹までの項目について，課題をもって，健康・快適・安全で豊
かな食生活，衣生活，住生活に向けて考え，工夫する活動を通して，次の事
項を身に付けることができるよう指導する。",137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑴,,⑴　食事の役割,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑴,,"ア　食事の役割が分かり，日常の食事の大切さと食事の仕方について理解
すること。",137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑴,,イ　楽しく食べるために日常の食事の仕方を考え，工夫すること。,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑵,,⑵　調理の基礎,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑵,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　調理に必要な材料の分量や手順が分かり，調理計画について理解
すること。
（イ）　調理に必要な用具や食器の安全で衛生的な取扱い及び加熱用調理
器具の安全な取扱いについて理解し，適切に使用できること。
（ウ）　材料に応じた洗い方，調理に適した切り方，味の付け方，盛り付
け，配膳及び後片付けを理解し，適切にできること。
（エ）　材料に適したゆで方，いため方を理解し，適切にできること。
（オ）　伝統的な日常食である米飯及びみそ汁の調理の仕方を理解し，適
切にできること。",137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑵,イ,イ　おいしく食べるために調理計画を考え，調理の仕方を工夫すること。,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑶,,⑶　栄養を考えた食事,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑶,ア,"ア　次のような知識を身に付けること。
（ア）　体に必要な栄養素の種類と主な働きについて理解すること。
（イ）　食品の栄養的な特徴が分かり，料理や食品を組み合わせてとる必
要があることを理解すること。
（ウ）　献立を構成する要素が分かり，１食分の献立作成の方法について
理解すること。",137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑶,イ,イ　１食分の献立について栄養のバランスを考え，工夫すること。,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑷,,⑷　衣服の着用と手入れ,137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑷,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　衣服の主な働きが分かり，季節や状況に応じた日常着の快適な着方について理解すること。
（イ）　日常着の手入れが必要であることや，ボタンの付け方及び洗濯の
仕方を理解し，適切にできること。",137
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑷,イ,イ　日常着の快適な着方や手入れの仕方を考え，工夫すること。,138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑸,,⑸　生活を豊かにするための布を用いた製作,138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑸,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　製作に必要な材料や手順が分かり，製作計画について理解するこ
と。
（イ）　手縫いやミシン縫いによる目的に応じた縫い方及び用具の安全な
取扱いについて理解し，適切にできること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑸,イ,"イ　生活を豊かにするために布を用いた物の製作計画を考え，製作を工夫
すること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑹,,⑹　快適な住まい方,138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑹,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　住まいの主な働きが分かり，季節の変化に合わせた生活の大切さ
や住まい方について理解すること。
（イ）　住まいの整理・整頓や清掃の仕方を理解し，適切にできること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｂ　衣食住の生活,⑹,イ,"イ　季節の変化に合わせた住まい方，整理・整頓や清掃の仕方を考え，快
適な住まい方を工夫すること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,,,"次の⑴及び⑵の項目について，課題をもって，持続可能な社会の構築に向
けて身近な消費生活と環境を考え，工夫する活動を通して，次の事項を身に
付けることができるよう指導する。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,⑴,,⑴　物や金銭の使い方と買物,138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,⑴,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　買物の仕組みや消費者の役割が分かり，物や金銭の大切さと計画
的な使い方について理解すること。
（イ）　身近な物の選び方，買い方を理解し，購入するために必要な情報
の収集・整理が適切にできること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,⑴,イ,"イ　購入に必要な情報を活用し，身近な物の選び方，買い方を考え，工夫
すること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,⑵,,⑵　環境に配慮した生活,138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,⑵,ア,"ア　自分の生活と身近な環境との関わりや環境に配慮した物の使い方など
について理解すること。",138
elementary,HOME_ECONOMICS,第２　各学年の内容,〔第５学年及び第６学年〕,１　内　容,Ｃ　消費生活・環境,⑵,イ,イ　環境に配慮した生活について物の使い方などを考え，工夫すること。,138
elementary,HOME_ECONOMICS,第２　各学年の内容,,２ 内容の取扱い,,⑴,,⑴ 内容の「Ａ家族・家庭生活」については，次のとおり取り扱うこと。,139
elementary,HOME_ECONOMICS,第２　各学年の内容,,２ 内容の取扱い,,⑴,ア,"ア ⑴のアについては，ＡからＣまでの各内容の学習と関連を図り，日常
生活における様々な問題について，家族や地域の人々との協力，健康・
快適・安全，持続可能な社会の構築等を視点として考え，解決に向けて
工夫することが大切であることに気付かせるようにすること。",139
elementary,HOME_ECONOMICS,第２　各学年の内容,,２ 内容の取扱い,,⑴,イ,"イ ⑵のイについては，内容の「Ｂ衣食住の生活」と関連を図り，衣食住
に関わる仕事を具体的に実践できるよう配慮すること。",139
elementary,HOME_ECONOMICS,第２　各学年の内容,,２ 内容の取扱い,,⑴,ウ,"ウ ⑶については，幼児又は低学年の児童や高齢者など異なる世代の人々
との関わりについても扱うこと。また，イについては，他教科等におけ
る学習との関連を図るよう配慮すること。",139
elementary,HOME_ECONOMICS,第２　各学年の内容,,２ 内容の取扱い,,⑵,,⑵ 内容の「Ｂ衣食住の生活」については，次のとおり取り扱うこと。,139
elementary,HOME_ECONOMICS,第２　各学年の内容,,２ 内容の取扱い,,⑵,ア,"ア 日本の伝統的な生活についても扱い，生活文化に気付くことができる
よう配慮すること。",139
