school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,INTEGRATED_STUDIES,第１　目　標,,,,,,"探究的な見方・考え方を働かせ，横断的・総合的な学習を行うことを通して，
よりよく課題を解決し，自己の生き方を考えていくための資質・能力を次のとお
り育成することを目指す。",179
elementary,INTEGRATED_STUDIES,第１　目　標,,,,⑴,,"⑴　探究的な学習の過程において，課題の解決に必要な知識及び技能を身に
付け，課題に関わる概念を形成し，探究的な学習のよさを理解するようにす
る。",179
elementary,INTEGRATED_STUDIES,第１　目　標,,,,⑵,,"⑵　実社会や実生活の中から問いを見いだし，自分で課題を立て，情報を集
め，整理・分析して，まとめ・表現することができるようにする。",179
elementary,INTEGRATED_STUDIES,第１　目　標,,,,⑶,,"⑶　探究的な学習に主体的・協働的に取り組むとともに，互いのよさを生かし
ながら，積極的に社会に参画しようとする態度を養う。",179
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,１　目　標,,,,"各学校においては，第１の目標を踏まえ，各学校の総合的な学習の時間の
目標を定める。",
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,２　内　容,,,,"各学校においては，第１の目標を踏まえ，各学校の総合的な学習の時間の
内容を定める。",
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,,,"各学校において定める目標及び内容の設定に当たっては，次の事項に配慮
するものとする。",179
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑴,,"⑴ 各学校において定める目標については，各学校における教育目標を踏ま
え，総合的な学習の時間を通して育成を目指す資質・能力を示すこと。",179
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑵,,"⑵ 各学校において定める目標及び内容については，他教科等の目標及び内
容との違いに留意しつつ，他教科等で育成を目指す資質・能力との関連を
重視すること。",179
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑶,,"⑶ 各学校において定める目標及び内容については，日常生活や社会との関
わりを重視すること。",179
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑷,,"⑷ 各学校において定める内容については，目標を実現するにふさわしい探
究課題，探究課題の解決を通して育成を目指す具体的な資質・能力を示す",180
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑸,,"⑸ 目標を実現するにふさわしい探究課題については，学校の実態に応じ
て，例えば，国際理解，情報，環境，福祉・健康などの現代的な諸課題に
対応する横断的・総合的な課題，地域の人々の暮らし，伝統と文化など地
域や学校の特色に応じた課題，児童の興味・関心に基づく課題などを踏ま
えて設定すること。",180
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑹,,"⑹ 探究課題の解決を通して育成を目指す具体的な資質・能力については，
次の事項に配慮すること。",180
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑹,ア,"ア 知識及び技能については，他教科等及び総合的な学習の時間で習得す
る知識及び技能が相互に関連付けられ，社会の中で生きて働くものとし
て形成されるようにすること。",180
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑹,イ,"イ 思考力，判断力，表現力等については，課題の設定，情報の収集，整
理・分析，まとめ・表現などの探究的な学習の過程において発揮され，
未知の状況において活用できるものとして身に付けられるようにするこ",180
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑹,ウ,"ウ 学びに向かう力，人間性等については，自分自身に関すること及び他
者や社会との関わりに関することの両方の視点を踏まえること。",180
elementary,INTEGRATED_STUDIES,第２　各学校において定める目標及び内容,,３　各学校において定める目標及び内容の取扱い,,⑺,,"⑺ 目標を実現するにふさわしい探究課題及び探究課題の解決を通して育成
を目指す具体的な資質・能力については，教科等を越えた全ての学習の基
盤となる資質・能力が育まれ，活用されるものとなるよう配慮すること。",180
elementary,INTEGRATED_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,,,１　指導計画の作成に当たっては，次の事項に配慮するものとする。,180
