school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,LIFE_STUDIES,第１　目　標,,,,,,"具体的な活動や体験を通して，身近な生活に関わる見方・考え方を生かし，自
立し生活を豊かにしていくための資質・能力を次のとおり育成することを目指
す。",112
elementary,LIFE_STUDIES,第１　目　標,,,,⑴,,"⑴　活動や体験の過程において，自分自身，身近な人々，社会及び自然の特徴
やよさ，それらの関わり等に気付くとともに，生活上必要な習慣や技能を身
に付けるようにする。",112
elementary,LIFE_STUDIES,第１　目　標,,,,⑵,,"⑵　身近な人々，社会及び自然を自分との関わりで捉え，自分自身や自分の生
活について考え，表現することができるようにする。",112
elementary,LIFE_STUDIES,第１　目　標,,,,⑶,,"⑶　身近な人々，社会及び自然に自ら働きかけ，意欲や自信をもって学んだり
生活を豊かにしたりしようとする態度を養う。",112
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標　,,⑴,,"⑴ 学校，家庭及び地域の生活に関わることを通して，自分と身近な人々，
社会及び自然との関わりについて考えることができ，それらのよさやすば
らしさ，自分との関わりに気付き，地域に愛着をもち自然を大切にした
り，集団や社会の一員として安全で適切な行動をしたりするようにする。",112
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標　,,⑵,,"⑵ 身近な人々，社会及び自然と触れ合ったり関わったりすることを通し
て，それらを工夫したり楽しんだりすることができ，活動のよさや大切さ
に気付き，自分たちの遊びや生活をよりよくするようにする。",112
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標　,,⑶,,"⑶ 自分自身を見つめることを通して，自分の生活や成長，身近な人々の支
えについて考えることができ，自分のよさや可能性に気付き，意欲と自信
をもって生活するようにする。
１の資質・能力を育成するため，次の内容を指導する。",112
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,,,,１の資質・能力を育成するため，次の内容を指導する。,112
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔学校，家庭及び地域の生活に関する内容〕,⑴,,"⑴ 学校生活に関わる活動を通して，学校の施設の様子や学校生活を支えて
いる人々や友達，通学路の様子やその安全を守っている人々などについて
考えることができ，学校での生活は様々な人や施設と関わっていることが
分かり，楽しく安心して遊びや生活をしたり，安全な登下校をしたりしよ",112
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔学校，家庭及び地域の生活に関する内容〕,⑵,,"⑵ 家庭生活に関わる活動を通して，家庭における家族のことや自分ででき
ることなどについて考えることができ，家庭での生活は互いに支え合って
いることが分かり，自分の役割を積極的に果たしたり，規則正しく健康に
気を付けて生活したりしようとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔学校，家庭及び地域の生活に関する内容〕,⑶,,"⑶ 地域に関わる活動を通して，地域の場所やそこで生活したり働いたりし
ている人々について考えることができ，自分たちの生活は様々な人や場所
と関わっていることが分かり，それらに親しみや愛着をもち，適切に接し
たり安全に生活したりしようとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔身近な人々，社会及び自然と関わる活動に関する内容〕,⑷,,"⑷ 公共物や公共施設を利用する活動を通して，それらのよさを感じたり働
きを捉えたりすることができ，身の回りにはみんなで使うものがあること
やそれらを支えている人々がいることなどが分かるとともに，それらを大
切にし，安全に気を付けて正しく利用しようとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔身近な人々，社会及び自然と関わる活動に関する内容〕,⑸,,"⑸ 身近な自然を観察したり，季節や地域の行事に関わったりするなどの活
動を通して，それらの違いや特徴を見付けることができ，自然の様子や四
季の変化，季節によって生活の様子が変わることに気付くとともに，それ
らを取り入れ自分の生活を楽しくしようとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔身近な人々，社会及び自然と関わる活動に関する内容〕,⑹,,"⑹ 身近な自然を利用したり，身近にある物を使ったりするなどして遊ぶ活
動を通して，遊びや遊びに使う物を工夫してつくることができ，その面白
さや自然の不思議さに気付くとともに，みんなと楽しみながら遊びを創り
出そうとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔身近な人々，社会及び自然と関わる活動に関する内容〕,⑺,,"⑺ 動物を飼ったり植物を育てたりする活動を通して，それらの育つ場所，
変化や成長の様子に関心をもって働きかけることができ，それらは生命を
もっていることや成長していることに気付くとともに，生き物への親しみ
をもち，大切にしようとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔身近な人々，社会及び自然と関わる活動に関する内容〕,⑻,,"⑻ 自分たちの生活や地域の出来事を身近な人々と伝え合う活動を通して，
相手のことを想像したり伝えたいことや伝え方を選んだりすることがで
き，身近な人々と関わることのよさや楽しさが分かるとともに，進んで触
れ合い交流しようとする。",113
elementary,LIFE_STUDIES,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,〔自分自身の生活や成長に関する内容〕,⑼,,"⑼ 自分自身の生活や成長を振り返る活動を通して，自分のことや支えてく
れた人々について考えることができ，自分が大きくなったこと，自分でで
きるようになったこと，役割が増えたことなどが分かるとともに，これま
での生活や成長を支えてくれた人々に感謝の気持ちをもち，これからの成
長への願いをもって，意欲的に生活しようとする。",113
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,,,１ 指導計画の作成に当たっては，次の事項に配慮するものとする。,114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,⑴,,"⑴ 年間や，単元など内容や時間のまとまりを見通して，その中で育む資
質・能力の育成に向けて，児童の主体的・対話的で深い学びの実現を図る
ようにすること。その際，児童が具体的な活動や体験を通して，身近な生
活に関わる見方・考え方を生かし，自分と地域の人々，社会及び自然との
関わりが具体的に把握できるような学習活動の充実を図ることとし，校外
での活動を積極的に取り入れること。",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,⑵,,⑵ 児童の発達の段階や特性を踏まえ，２学年間を見通して学習活動を設定,114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,⑶,,"⑶ 第２の内容の⑺については，２学年間にわたって取り扱うものとし，動
物や植物への関わり方が深まるよう継続的な飼育，栽培を行うようにする",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,⑷,,"⑷ 他教科等との関連を積極的に図り，指導の効果を高め，低学年におけ
る教育全体の充実を図り，中学年以降の教育へ円滑に接続できるようにす
るとともに，幼稚園教育要領等に示す幼児期の終わりまでに育ってほしい
姿との関連を考慮すること。特に，小学校入学当初においては，幼児期に
おける遊びを通した総合的な学びから他教科等における学習に円滑に移行
し，主体的に自己を発揮しながら，より自覚的な学びに向かうことが可能
となるようにすること。その際，生活科を中心とした合科的・関連的な指
導や，弾力的な時間割の設定を行うなどの工夫をすること。",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,⑸,,"⑸ 障害のある児童などについては，学習活動を行う場合に生じる困難さに
応じた指導内容や指導方法の工夫を計画的，組織的に行うこと。",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,1,⑹,,"⑹ 第１章総則の第１の２の⑵に示す道徳教育の目標に基づき，道徳科など
との関連を考慮しながら，第３章特別の教科道徳の第２に示す内容につい
て，生活科の特質に応じて適切な指導をすること。",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,,,２ 第２の内容の取扱いについては，次の事項に配慮するものとする。,114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,⑴,,"⑴ 地域の人々，社会及び自然を生かすとともに，それらを一体的に扱うよ
う学習活動を工夫すること。",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,⑵,,"⑵ 身近な人々，社会及び自然に関する活動の楽しさを味わうとともに，そ
れらを通して気付いたことや楽しかったことなどについて，言葉，絵，動
作，劇化などの多様な方法により表現し，考えることができるようにする
こと。また，このように表現し，考えることを通して，気付きを確かなも
のとしたり，気付いたことを関連付けたりすることができるよう工夫する",114
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,⑶,,"⑶ 具体的な活動や体験を通して気付いたことを基に考えることができるよ
うにするため，見付ける，比べる，たとえる，試す，見通す，工夫するな
どの多様な学習活動を行うようにすること。",115
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,⑷,,"⑷ 学習活動を行うに当たっては，コンピュータなどの情報機器について，
その特質を踏まえ，児童の発達の段階や特性及び生活科の特質などに応じ
て適切に活用するようにすること。",115
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,⑸,,"⑸ 具体的な活動や体験を行うに当たっては，身近な幼児や高齢者，障害の
ある児童生徒などの多様な人々と触れ合うことができるようにすること。",115
elementary,LIFE_STUDIES,第３　指導計画の作成と内容の取扱い,,,2,⑹,,"⑹ 生活上必要な習慣や技能の指導については，人，社会，自然及び自分自
身に関わる学習活動の展開に即して行うようにすること。",115
