school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,MATH,１　目　標,,,,,,"数学的な見方・考え方を働かせ，数学的活動を通して，数学的に考える資質・
能力を次のとおり育成することを目指す。",64
elementary,MATH,１　目　標,,,,⑴,,"⑴　数量や図形などについての基礎的・基本的な概念や性質などを理解すると
ともに，日常の事象を数理的に処理する技能を身に付けるようにする。",64
elementary,MATH,１　目　標,,,,⑵,,"⑵　日常の事象を数理的に捉え見通しをもち筋道を立てて考察する力，基礎
的・基本的な数量や図形の性質などを見いだし統合的・発展的に考察する
力，数学的な表現を用いて事象を簡潔・明瞭・的確に表したり目的に応じて
柔軟に表したりする力を養う。",64
elementary,MATH,１　目　標,,,,⑶,,"⑶　数学的活動の楽しさや数学のよさに気付き，学習を振り返ってよりよく問
題解決しようとする態度，算数で学んだことを生活や学習に活用しようとす
る態度を養う。",64
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,１　目　標,,⑴,,"⑴　数の概念とその表し方及び計算の意味を理解し，量，図形及び数量の関
係についての理解の基礎となる経験を重ね，数量や図形についての感覚を
豊かにするとともに，加法及び減法の計算をしたり，形を構成したり，身
の回りにある量の大きさを比べたり，簡単な絵や図などに表したりするこ
となどについての技能を身に付けるようにする。",64
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,１　目　標,,⑵,,"⑵　ものの数に着目し，具体物や図などを用いて数の数え方や計算の仕方を
考える力，ものの形に着目して特徴を捉えたり，具体的な操作を通して形
の構成について考えたりする力，身の回りにあるものの特徴を量に着目し
て捉え，量の大きさの比べ方を考える力，データの個数に着目して身の回
りの事象の特徴を捉える力などを養う。",64
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,１　目　標,,⑶,,"⑶　数量や図形に親しみ，算数で学んだことのよさや楽しさを感じながら学
ぶ態度を養う。",64
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ａ　数と計算,⑴,,"⑴　数の構成と表し方に関わる数学的活動を通して，次の事項を身に付ける
ことができるよう指導する。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ａ　数と計算,⑴,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　ものとものとを対応させることによって，ものの個数を比べるこ
と。
（イ）　個数や順番を正しく数えたり表したりすること。
（ウ）　数の大小や順序を考えることによって，数の系列を作ったり，数
直線の上に表したりすること。
（エ）　一つの数をほかの数の和や差としてみるなど，ほかの数と関係付
けてみること。
（オ）　２位数の表し方について理解すること。
（カ）　簡単な場合について，３位数の表し方を知ること。
（キ）　数を，十を単位としてみること。
（ク）　具体物をまとめて数えたり等分したりして整理し，表すこと。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ａ　数と計算,⑴,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　数のまとまりに着目し，数の大きさの比べ方や数え方を考え，そ
れらを日常生活に生かすこと。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ａ　数と計算,⑵,,"⑵　加法及び減法に関わる数学的活動を通して，次の事項を身に付けること
ができるよう指導する。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ａ　数と計算,⑵,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　加法及び減法の意味について理解し，それらが用いられる場合に
ついて知ること。
（イ）　加法及び減法が用いられる場面を式に表したり，式を読み取った
りすること。
（ウ）　１位数と１位数との加法及びその逆の減法の計算が確実にできる
こと。
（エ）　簡単な場合について，２位数などについても加法及び減法ができ
ることを知ること。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ａ　数と計算,⑵,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　数量の関係に着目し，計算の意味や計算の仕方を考えたり，日常
生活に生かしたりすること。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｂ　図形,⑴,,"⑴　身の回りにあるものの形に関わる数学的活動を通して，次の事項を身に
付けることができるよう指導する。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｂ　図形,⑴,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　ものの形を認め，形の特徴を知ること。
（イ）　具体物を用いて形を作ったり分解したりすること。
（ウ）　前後，左右，上下など方向や位置についての言葉を用いて，もの
の位置を表すこと。",65
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｂ　図形,⑴,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　ものの形に着目し，身の回りにあるものの特徴を捉えたり，具体
的な操作を通して形の構成について考えたりすること。",66
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｃ　測定,⑴,,"⑴　身の回りのものの大きさに関わる数学的活動を通して，次の事項を身に
付けることができるよう指導する。",
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｃ　測定,,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　長さ，広さ，かさなどの量を，具体的な操作によって直接比べた
り，他のものを用いて比べたりすること。
（イ）　身の回りにあるものの大きさを単位として，その幾つ分かで大き
さを比べること。",
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｃ　測定,,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　身の回りのものの特徴に着目し，量の大きさの比べ方を見いだす
こと。",
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｃ　測定,⑵,,"⑵　時刻に関わる数学的活動を通して，次の事項を身に付けることができる
よう指導する。",
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｃ　測定,,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　日常生活の中で時刻を読むこと。",
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,２　内　容,Ｃ　測定,,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　時刻の読み方を用いて，時刻と日常生活を関連付けること。",
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,各学年の目標及び内容,Ｄ データの活用,⑴,,"⑴ 数量の整理に関わる数学的活動を通して，次の事項を身に付けることが
できるよう指導する。",66
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,各学年の目標及び内容,Ｄ データの活用,⑴,ア,"ア 次のような知識及び技能を身に付けること。
（ア） ものの個数について，簡単な絵や図などに表したり，それらを読
み取ったりすること。",66
elementary,MATH,２　各学年の目標及び内容,〔第１学年〕,各学年の目標及び内容,Ｄ データの活用,⑴,イ,"イ 次のような思考力，判断力，表現力等を身に付けること。
（ア） データの個数に着目し，身の回りの事象の特徴を捉えること。",66
