school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,MORAL_EDUCATIONS,第１　目　標,,,,,,"第１章総則の第１の２の⑵に示す道徳教育の目標に基づき，よりよく生きるた
めの基盤となる道徳性を養うため，道徳的諸価値についての理解を基に，自己を
見つめ，物事を多面的・多角的に考え，自己の生き方についての考えを深める学
習を通して，道徳的な判断力，心情，実践意欲と態度を育てる。",
elementary,MORAL_EDUCATIONS,第２　内　容,,,,,,"学校の教育活動全体を通じて行う道徳教育の要である道徳科においては，以下
に示す項目について扱う。",
elementary,MORAL_EDUCATIONS,第２　内　容,Ａ,主として自分自身に関すること,善悪の判断，自律，自由と責任,,,［善悪の判断，自律，自由と責任］,165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
よいことと悪いこととの区別をし，よいと思うことを進んで行うこと。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
正しいと判断したことは，自信をもって行うこと。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
自由を大切にし，自律的に判断し，責任のある行動をすること。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,正直，誠実,,,［正直，誠実］,165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
うそをついたりごまかしをしたりしないで，素直に伸び伸びと生活する",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
過ちは素直に改め，正直に明るい心で生活すること。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
誠実に，明るい心で生活すること。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,節度，節制,,,［節度，節制］,165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
健康や安全に気を付け，物や金銭を大切にし，身の回りを整え，わがま
まをしないで，規則正しい生活をすること。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
自分でできることは自分でやり，安全に気を付け，よく考えて行動し，
節度のある生活をすること。",165
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
安全に気を付けることや，生活習慣の大切さについて理解し，自分の生
活を見直し，節度を守り節制に心掛けること。",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,個性の伸長,,,［個性の伸長］,166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
自分の特徴に気付くこと。",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
自分の特徴に気付き，長所を伸ばすこと。",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
自分の特徴を知って，短所を改め長所を伸ばすこと。",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,希望と勇気，努力と強い意志,,,［希望と勇気，努力と強い意志］,166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
自分のやるべき勉強や仕事をしっかりと行うこと。",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
自分でやろうと決めた目標に向かって，強い意志をもち，粘り強くやり",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
より高い目標を立て，希望と勇気をもち，困難があってもくじけずに努
力して物事をやり抜くこと。",166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,真理の探究,,,［真理の探究］,166
elementary,MORAL_EDUCATIONS,,Ａ,主として自分自身に関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
真理を大切にし，物事を探究しようとする心をもつこと。",166
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,親切，思いやり,,,［親切，思いやり］,166
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
身近にいる人に温かい心で接し，親切にすること。",166
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
相手のことを思いやり，進んで親切にすること。",166
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
誰に対しても思いやりの心をもち，相手の立場に立って親切にするこ",166
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
家族など日頃世話になっている人々に感謝すること。",166
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
家族など生活を支えてくれている人々や現在の生活を築いてくれた高齢
者に，尊敬と感謝の気持ちをもって接すること。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
日々の生活が家族や過去からの多くの人々の支え合いや助け合いで成り
立っていることに感謝し，それに応えること。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
気持ちのよい挨拶，言葉遣い，動作などに心掛けて，明るく接するこ",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
礼儀の大切さを知り，誰に対しても真心をもって接すること。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
時と場をわきまえて，礼儀正しく真心をもって接すること。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,友情，信頼,,,［友情，信頼］,167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
友達と仲よくし，助け合うこと。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
友達と互いに理解し，信頼し，助け合うこと。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
友達と互いに信頼し，学び合って友情を深め，異性についても理解しな
がら，人間関係を築いていくこと。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,相互理解，寛容,,,［相互理解，寛容］,167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
自分の考えや意見を相手に伝えるとともに，相手のことを理解し，自分
と異なる意見も大切にすること。",167
elementary,MORAL_EDUCATIONS,,Ｂ,主として人との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
自分の考えや意見を相手に伝えるとともに，謙虚な心をもち，広い心で
自分と異なる意見や立場を尊重すること。",167
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,規則の尊重,,,［規則の尊重］,167
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
約束やきまりを守り，みんなが使う物を大切にすること。",167
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
約束や社会のきまりの意義を理解し，それらを守ること。",167
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
法やきまりの意義を理解した上で進んでそれらを守り，自他の権利を大
切にし，義務を果たすこと。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,公正，公平，社会正義,,,［公正，公平，社会正義］,168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
自分の好き嫌いにとらわれないで接すること。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
誰に対しても分け隔てをせず，公正，公平な態度で接すること。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
誰に対しても差別をすることや偏見をもつことなく，公正，公平な態度
で接し，正義の実現に努めること。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,勤労，公共の精神,,,［勤労，公共の精神］,168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
働くことのよさを知り，みんなのために働くこと。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
働くことの大切さを知り，進んでみんなのために働くこと。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
働くことや社会に奉仕することの充実感を味わうとともに，その意義を
理解し，公共のために役に立つことをすること。",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,家族愛，家庭生活の充実,,,［家族愛，家庭生活の充実］,168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
父母，祖父母を敬愛し，進んで家の手伝いなどをして，家族の役に立つ",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
父母，祖父母を敬愛し，家族みんなで協力し合って楽しい家庭をつくる",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
父母，祖父母を敬愛し，家族の幸せを求めて，進んで役に立つことをす",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,よりよい学校生活，集団生活の充実,,,［よりよい学校生活，集団生活の充実］,168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
先生を敬愛し，学校の人々に親しんで，学級や学校の生活を楽しくする",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
先生や学校の人々を敬愛し，みんなで協力し合って楽しい学級や学校を",168
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
先生や学校の人々を敬愛し，みんなで協力し合ってよりよい学級や学校
をつくるとともに，様々な集団の中での自分の役割を自覚して集団生活の
充実に努めること。",169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,伝統と文化の尊重，国や郷土を愛する態度,,,［伝統と文化の尊重，国や郷土を愛する態度］,169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
我が国や郷土の文化と生活に親しみ，愛着をもつこと。",169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
我が国や郷土の伝統と文化を大切にし，国や郷土を愛する心をもつこ",169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
我が国や郷土の伝統と文化を大切にし，先人の努力を知り，国や郷土を
愛する心をもつこと。",169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,国際理解，国際親善,,,［国際理解，国際親善］,169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
他国の人々や文化に親しむこと。",169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
他国の人々や文化に親しみ，関心をもつこと。",169
elementary,MORAL_EDUCATIONS,,Ｃ,主として集団や社会との関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
他国の人々や文化について理解し，日本人としての自覚をもって国際親
善に努めること。",169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,生命の尊さ,,,［生命の尊さ］,169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
生きることのすばらしさを知り，生命を大切にすること。",169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
生命の尊さを知り，生命あるものを大切にすること。",169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
生命が多くの生命のつながりの中にあるかけがえのないものであること
を理解し，生命を尊重すること。",169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
身近な自然に親しみ，動植物に優しい心で接すること。",169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
自然のすばらしさや不思議さを感じ取り，自然や動植物を大切にするこ",169
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
自然の偉大さを知り，自然環境を大切にすること。",170
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,感動，畏敬の念,,,［感動，畏敬の念］,170
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第１学年及び第２学年,,,"〔第１学年及び第２学年〕
美しいものに触れ，すがすがしい心をもつこと。",170
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第３学年及び第４学年,,,"〔第３学年及び第４学年〕
美しいものや気高いものに感動する心をもつこと。",170
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
美しいものや気高いものに感動する心や人間の力を超えたものに対する
畏敬の念をもつこと。",170
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,よりよく生きる喜び,,,［よりよく生きる喜び］,170
elementary,MORAL_EDUCATIONS,,Ｄ,主として生命や自然，崇高なものとの関わりに関すること,第５学年及び第６学年,,,"〔第５学年及び第６学年〕
よりよく生きようとする人間の強さや気高さを理解し，人間として生き
る喜びを感じること。",170
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,1,,,"１ 各学校においては，道徳教育の全体計画に基づき，各教科，外国語活動，
総合的な学習の時間及び特別活動との関連を考慮しながら，道徳科の年間指
導計画を作成するものとする。なお，作成に当たっては，第２に示す各学年
段階の内容項目について，相当する各学年において全て取り上げることとす
る。その際，児童や学校の実態に応じ，２学年間を見通した重点的な指導や
内容項目間の関連を密にした指導，一つの内容項目を複数の時間で扱う指導
を取り入れるなどの工夫を行うものとする。",170
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,,,２ 第２の内容の指導に当たっては，次の事項に配慮するものとする。,170
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑴,,"⑴ 校長や教頭などの参加，他の教師との協力的な指導などについて工夫
し，道徳教育推進教師を中心とした指導体制を充実すること。",170
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑵,,"⑵ 道徳科が学校の教育活動全体を通じて行う道徳教育の要としての役割を
果たすことができるよう，計画的・発展的な指導を行うこと。特に，各教
科，外国語活動，総合的な学習の時間及び特別活動における道徳教育とし
ては取り扱う機会が十分でない内容項目に関わる指導を補うことや，児童
や学校の実態等を踏まえて指導をより一層深めること，内容項目の相互の
関連を捉え直したり発展させたりすることに留意すること。",170
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑶,,"⑶ 児童が自ら道徳性を養う中で，自らを振り返って成長を実感したり，こ
れからの課題や目標を見付けたりすることができるよう工夫すること。そ
の際，道徳性を養うことの意義について，児童自らが考え，理解し，主体
的に学習に取り組むことができるようにすること。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑷,,"⑷ 児童が多様な感じ方や考え方に接する中で，考えを深め，判断し，表現
する力などを育むことができるよう，自分の考えを基に話し合ったり書い
たりするなどの言語活動を充実すること。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑸,,"⑸ 児童の発達の段階や特性等を考慮し，指導のねらいに即して，問題解決
的な学習，道徳的行為に関する体験的な学習等を適切に取り入れるなど，
指導方法を工夫すること。その際，それらの活動を通じて学んだ内容の意
義などについて考えることができるようにすること。また，特別活動等
における多様な実践活動や体験活動も道徳科の授業に生かすようにするこ",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑹,,"⑹ 児童の発達の段階や特性等を考慮し，第２に示す内容との関連を踏まえ
つつ，情報モラルに関する指導を充実すること。また，児童の発達の段階
や特性等を考慮し，例えば，社会の持続可能な発展などの現代的な課題の
取扱いにも留意し，身近な社会的課題を自分との関係において考え，それ
らの解決に寄与しようとする意欲や態度を育てるよう努めること。なお，
多様な見方や考え方のできる事柄について，特定の見方や考え方に偏った
指導を行うことのないようにすること。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,2,⑺,,"⑺ 道徳科の授業を公開したり，授業の実施や地域教材の開発や活用などに
家庭や地域の人々，各分野の専門家等の積極的な参加や協力を得たりする
など，家庭や地域社会との共通理解を深め，相互の連携を図ること。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,3,,,３ 教材については，次の事項に留意するものとする。,171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,3,⑴,,"⑴ 児童の発達の段階や特性，地域の実情等を考慮し，多様な教材の活用に
努めること。特に，生命の尊厳，自然，伝統と文化，先人の伝記，スポー
ツ，情報化への対応等の現代的な課題などを題材とし，児童が問題意識を
もって多面的・多角的に考えたり，感動を覚えたりするような充実した教
材の開発や活用を行うこと。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,3,⑵,,"⑵ 教材については，教育基本法や学校教育法その他の法令に従い，次の観
点に照らし適切と判断されるものであること。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,3,⑵,ア,ア 児童の発達の段階に即し，ねらいを達成するのにふさわしいものであ,171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,3,⑵,イ,"イ 人間尊重の精神にかなうものであって，悩みや葛藤等の心の揺れ，人
間関係の理解等の課題も含め，児童が深く考えることができ，人間とし
てよりよく生きる喜びや勇気を与えられるものであること。",171
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,3,⑵,ウ,"ウ 多様な見方や考え方のできる事柄を取り扱う場合には，特定の見方や
考え方に偏った取扱いがなされていないものであること。",172
elementary,MORAL_EDUCATIONS,,3,指導計画の作成と内容の取扱い,4,,,"４ 児童の学習状況や道徳性に係る成長の様子を継続的に把握し，指導に生か
すよう努める必要がある。ただし，数値などによる評価は行わないものとす",172
