school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,MUSIC,第１　目　標,,,,,,"表現及び鑑賞の活動を通して，音楽的な見方・考え方を働かせ，生活や社会の
中の音や音楽と豊かに関わる資質・能力を次のとおり育成することを目指す。",116
elementary,MUSIC,第１　目　標,,,,⑴,,"⑴　曲想と音楽の構造などとの関わりについて理解するとともに，表したい音
楽表現をするために必要な技能を身に付けるようにする。",116
elementary,MUSIC,第１　目　標,,,,⑵,,"⑵　音楽表現を工夫することや，音楽を味わって聴くことができるようにす
る。",116
elementary,MUSIC,第１　目　標,,,,⑶,,"⑶　音楽活動の楽しさを体験することを通して，音楽を愛好する心情と音楽に
対する感性を育むとともに，音楽に親しむ態度を養い，豊かな情操を培う。",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標　,,⑴,,"⑴ 曲想と音楽の構造などとの関わりについて気付くとともに，音楽表現を
楽しむために必要な歌唱，器楽，音楽づくりの技能を身に付けるようにす",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標　,,⑵,,"⑵ 音楽表現を考えて表現に対する思いをもつことや，曲や演奏の楽しさを
見いだしながら音楽を味わって聴くことができるようにする。",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標　,,⑶,,"⑶ 楽しく音楽に関わり，協働して音楽活動をする楽しさを感じながら，身
の回りの様々な音楽に親しむとともに，音楽経験を生かして生活を明るく
潤いのあるものにしようとする態度を養う。",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,,⑴ 歌唱の活動を通して，次の事項を身に付けることができるよう指導す,116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,ア,"ア 歌唱表現についての知識や技能を得たり生かしたりしながら，曲想を
感じ取って表現を工夫し，どのように歌うかについて思いをもつこと。",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,イ,"イ 曲想と音楽の構造との関わり，曲想と歌詞の表す情景や気持ちとの関
わりについて気付くこと。",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑴,ウ,"ウ 思いに合った表現をするために必要な次の（ア）から（ウ）までの技能を身
に付けること。
（ア） 範唱を聴いて歌ったり，階名で模唱したり暗唱したりする技能
（イ） 自分の歌声及び発音に気を付けて歌う技能
（ウ） 互いの歌声や伴奏を聴いて，声を合わせて歌う技能",116
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,,⑵ 器楽の活動を通して，次の事項を身に付けることができるよう指導す,117
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,ア,"ア 器楽表現についての知識や技能を得たり生かしたりしながら，曲想を
感じ取って表現を工夫し，どのように演奏するかについて思いをもつこ",117
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,イ,"イ 次の（ア）及び（イ）について気付くこと。
（ア） 曲想と音楽の構造との関わり
（イ） 楽器の音色と演奏の仕方との関わり",117
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑵,ウ,"ウ 思いに合った表現をするために必要な次の（ア）から（ウ）までの技能を身
に付けること。
（ア） 範奏を聴いたり，リズム譜などを見たりして演奏する技能
（イ） 音色に気を付けて，旋律楽器及び打楽器を演奏する技能
（ウ） 互いの楽器の音や伴奏を聴いて，音を合わせて演奏する技能",117
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑶,,⑶ 音楽づくりの活動を通して，次の事項を身に付けることができるよう指,117
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑶,ア,"ア 音楽づくりについての知識や技能を得たり生かしたりしながら，次の
（ア）及び（イ）をできるようにすること。
（ア） 音遊びを通して，音楽づくりの発想を得ること。
（イ） どのように音を音楽にしていくかについて思いをもつこと。",117
elementary,MUSIC,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　表　現,⑶,イ,"イ 次の（ア）及び（イ）について，それらが生み出す面白さなどと関わらせて
（ア） 声や身の回りの様々な音の特徴
（イ） 音やフレーズのつなげ方の特徴",117
