school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,PHYSICAL_EDUCATION,第１　目　標,,,,,,"体育や保健の見方・考え方を働かせ，課題を見付け，その解決に向けた学習過
程を通して，心と体を一体として捉え，生涯にわたって心身の健康を保持増進し
豊かなスポーツライフを実現するための資質・能力を次のとおり育成することを
目指す。",142
elementary,PHYSICAL_EDUCATION,第１　目　標,,,,⑴,,"⑴　その特性に応じた各種の運動の行い方及び身近な生活における健康・安全
について理解するとともに，基本的な動きや技能を身に付けるようにする。",142
elementary,PHYSICAL_EDUCATION,第１　目　標,,,,⑵,,"⑵　運動や健康についての自己の課題を見付け，その解決に向けて思考し判断
するとともに，他者に伝える力を養う。",142
elementary,PHYSICAL_EDUCATION,第１　目　標,,,,⑶,,"⑶　運動に親しむとともに健康の保持増進と体力の向上を目指し，楽しく明る
い生活を営む態度を養う。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標,,⑴,,"⑴　各種の運動遊びの楽しさに触れ，その行い方を知るとともに，基本的な
動きを身に付けるようにする。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標,,⑵,,"⑵　各種の運動遊びの行い方を工夫するとともに，考えたことを他者に伝え
る力を養う。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,１　目　標,,⑶,,"⑶　各種の運動遊びに進んで取り組み，きまりを守り誰とでも仲よく運動を
したり，健康・安全に留意したりし，意欲的に運動をする態度を養う。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　体つくりの運動遊び,,,"体つくりの運動遊びについて，次の事項を身に付けることができるよう指
導する。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　体つくりの運動遊び,⑴,,"⑴　次の運動遊びの楽しさに触れ，その行い方を知るとともに，体を動かす
心地よさを味わったり，基本的な動きを身に付けたりすること。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　体つくりの運動遊び,⑴,ア,"ア　体ほぐしの運動遊びでは，手軽な運動遊びを行い，心と体の変化に気
付いたり，みんなで関わり合ったりすること。",142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　体つくりの運動遊び,⑴,イ,イ　多様な動きをつくる運動遊びでは，体のバランスをとる動き，体を移動する動き，用具を操作する動き，力試しの動きをすること。,142
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　体つくりの運動遊び,⑵,,"⑵　体をほぐしたり多様な動きをつくったりする遊び方を工夫するととも
に，考えたことを友達に伝えること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ａ　体つくりの運動遊び,⑶,,"⑶　運動遊びに進んで取り組み，きまりを守り誰とでも仲よく運動をした
り，場の安全に気を付けたりすること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,,,"器械・器具を使っての運動遊びについて，次の事項を身に付けることがで
きるよう指導する。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,⑴,,"⑴　次の運動遊びの楽しさに触れ，その行い方を知るとともに，その動きを
身に付けること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,⑴,ア,"ア　固定施設を使った運動遊びでは，登り下りや懸垂移行，渡り歩きや跳
び下りをすること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,⑴,イ,"イ　マットを使った運動遊びでは，いろいろな方向への転がり，手で支え
ての体の保持や回転をすること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,⑴,ウ,"ウ　鉄棒を使った運動遊びでは，支持しての揺れや上がり下り，ぶら下が
りや易しい回転をすること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,⑴,エ,"エ　跳び箱を使った運動遊びでは，跳び乗りや跳び下り，手を着いてのま
たぎ乗りやまたぎ下りをすること。",143
elementary,PHYSICAL_EDUCATION,第２　各学年の目標及び内容,〔第１学年及び第２学年〕,２　内　容,Ｂ　器械・器具を使っての運動遊び,⑵,,"⑵　器械・器具を用いた簡単な遊び方を工夫するとともに，考えたことを友
達に伝えること。",143
