school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,SCIENCE,第１ 目 標,,,,,,自然に親しみ，理科の見方・考え方を働かせ，見通しをもって観察，実験を行 うことなどを通して，自然の事物・現象についての問題を科学的に解決するため に必要な資質・能力を次のとおり育成することを目指す。 ,94
elementary,SCIENCE,第１ 目 標,,,,⑴,, ⑴ 自然の事物・現象についての理解を図り，観察，実験などに関する基本的 な技能を身に付けるようにする。,94
elementary,SCIENCE,第１ 目 標,,,,⑵ ,, ⑵ 観察，実験などを行い，問題解決の力を養う。,94
elementary,SCIENCE,第１ 目 標,,,,⑶,,⑶ 自然を愛する心情や主体的に問題解決しようとする態度を養う。,94
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,１ 目 標,,⑴,,⑴ 物質・エネルギー ① 物の性質，風とゴムの力の働き，光と音の性質，磁石の性質及び電気の 回路についての理解を図り，観察，実験などに関する基本的な技能を身に 付けるようにする。 ② 物の性質，風とゴムの力の働き，光と音の性質，磁石の性質及び電気の 回路について追究する中で，主に差異点や共通点を基に，問題を見いだす 力を養う。 ③ 物の性質，風とゴムの力の働き，光と音の性質，磁石の性質及び電気の 回路について追究する中で，主体的に問題解決しようとする態度を養う。,94
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,１ 目 標,,⑵ ,, ⑵ 生命・地球 ① 身の回りの生物，太陽と地面の様子についての理解を図り，観察，実験 などに関する基本的な技能を身に付けるようにする。 ② 身の回りの生物，太陽と地面の様子について追究する中で，主に差異点 や共通点を基に，問題を見いだす力を養う。 ③ 身の回りの生物，太陽と地面の様子について追究する中で，生物を愛護 する態度や主体的に問題解決しようとする態度を養う。,94
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー,⑴ 物と重さ ,,物の性質について，形や体積に着目して，重さを比較しながら調べる活 動を通して，次の事項を身に付けることができるよう指導する。,94
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー,⑴ 物と重さ ,ア,次のことを理解するとともに，観察，実験などに関する技能を身に付 けること。 （ア） 物は，形が変わっても重さは変わらないこと。 （イ） 物は，体積が同じでも重さは違うことがあること。 理 科,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー,⑴ 物と重さ ,イ,物の形や体積と重さとの関係について追究する中で，差異点や共通点 を基に，物の性質についての問題を見いだし，表現すること。 ,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑵ 風とゴムの力の働き,,風とゴムの力の働きについて，力と物の動く様子に着目して，それらを 比較しながら調べる活動を通して，次の事項を身に付けることができるよ う指導する。,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑵ 風とゴムの力の働き,ア,次のことを理解するとともに，観察，実験などに関する技能を身に付 けること。 （ア） 風の力は，物を動かすことができること。また，風の力の大きさ を変えると，物が動く様子も変わること。 （イ） ゴムの力は，物を動かすことができること。また，ゴムの力の大 きさを変えると，物が動く様子も変わること。,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑵ 風とゴムの力の働き,イ,風とゴムの力で物が動く様子について追究する中で，差異点や共通 点を基に，風とゴムの力の働きについての問題を見いだし，表現するこ と。,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑶ 光と音の性質 ,,光と音の性質について，光を当てたときの明るさや暖かさ，音を出した ときの震え方に着目して，光の強さや音の大きさを変えたときの違いを比 較しながら調べる活動を通して，次の事項を身に付けることができるよう 指導する。,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑶ 光と音の性質 ,ア,次のことを理解するとともに，観察，実験などに関する技能を身に付 けること。 （ア） 日光は直進し，集めたり反射させたりできること。 （イ） 物に日光を当てると，物の明るさや暖かさが変わること。 （ウ） 物から音が出たり伝わったりするとき，物は震えていること。ま た，音の大きさが変わるとき物の震え方が変わること。,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑶ 光と音の性質 ,イ,光を当てたときの明るさや暖かさの様子，音を出したときの震え方の 様子について追究する中で，差異点や共通点を基に，光と音の性質についての問題を見いだし，表現すること。,95
elementary,SCIENCE,第２ 各学年の目標及び内容,〔第３学年〕,２ 内 容,Ａ　物質・エネルギー, ⑷ 磁石の性質,, 磁石の性質について，磁石を身の回りの物に近付けたときの様子に着目 して，それらを比較しながら調べる活動を通して，次の事項を身に付ける ことができるよう指導する。,95
