school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,SOCIAL,1目標,,,,,,"社会的な見方・考え方を働かせ，課題を追究したり解決したりする活動を通し
て，グローバル化する国際社会に主体的に生きる平和で民主的な国家及び社会の
形成者に必要な公民としての資質・能力の基礎を次のとおり育成することを目指
す。",46
elementary,SOCIAL,1目標,,,,⑴,,"⑴　地域や我が国の国土の地理的環境，現代社会の仕組みや働き，地域や我が
国の歴史や伝統と文化を通して社会生活について理解するとともに，様々な
資料や調査活動を通して情報を適切に調べまとめる技能を身に付けるように
する。",46
elementary,SOCIAL,1目標,,,,⑵,,"⑵　社会的事象の特色や相互の関連，意味を多角的に考えたり，社会に見られ
る課題を把握して，その解決に向けて社会への関わり方を選択・判断したり
する力，考えたことや選択・判断したことを適切に表現する力を養う。",46
elementary,SOCIAL,1目標,,,,⑶,,"⑶　社会的事象について，よりよい社会を考え主体的に問題解決しようとする
態度を養うとともに，多角的な思考や理解を通して，地域社会に対する誇り
と愛情，地域社会の一員としての自覚，我が国の国土と歴史に対する愛情，
我が国の将来を担う国民としての自覚，世界の国々の人々と共に生きていく
ことの大切さについての自覚などを養う。",46
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,,,,,〔第３学年〕,46
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,１目標,,,,"１目標
社会的事象の見方・考え方を働かせ，学習の問題を追究・解決する活動を
通して，次のとおり資質・能力を育成することを目指す。",46
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,１目標,,⑴,,"⑴　身近な地域や市区町村の地理的環境，地域の安全を守るための諸活動や
地域の産業と消費生活の様子，地域の様子の移り変わりについて，人々の
生活との関連を踏まえて理解するとともに，調査活動，地図帳や各種の具
体的資料を通して，必要な情報を調べまとめる技能を身に付けるようにす
る。",46
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,１目標,,⑵,,"⑵　社会的事象の特色や相互の関連，意味を考える力，社会に見られる課題
を把握して，その解決に向けて社会への関わり方を選択・判断する力，考
えたことや選択・判断したことを表現する力を養う。",46
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,１目標,,⑶,,"⑶　社会的事象について，主体的に学習の問題を解決しようとする態度や，
よりよい社会を考え学習したことを社会生活に生かそうとする態度を養う
とともに，思考や理解を通して，地域社会に対する誇りと愛情，地域社会
の一員としての自覚を養う。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,,,内容,47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑴,,"⑴　身近な地域や市区町村（以下第２章第２節において「市」という。）の
様子について，学習の問題を追究・解決する活動を通して，次の事項を身
に付けることができるよう指導する。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑴,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　身近な地域や自分たちの市の様子を大まかに理解すること。
（イ）　観察・調査したり地図などの資料で調べたりして，白地図などに
まとめること。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑴,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　都道府県内における市の位置，市の地形や土地利用，交通の広が
り，市役所など主な公共施設の場所と働き，古くから残る建造物の分
布などに着目して，身近な地域や市の様子を捉え，場所による違いを
考え，表現すること。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑵,,"⑵　地域に見られる生産や販売の仕事について，学習の問題を追究・解決す
る活動を通して，次の事項を身に付けることができるよう指導する。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑵,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　生産の仕事は，地域の人々の生活と密接な関わりをもって行われ
ていることを理解すること。
（イ）　販売の仕事は，消費者の多様な願いを踏まえ売り上げを高めるよ
う，工夫して行われていることを理解すること。
（ウ）　見学・調査したり地図などの資料で調べたりして，白地図などに
まとめること。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑵,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　仕事の種類や産地の分布，仕事の工程などに着目して，生産に携
わっている人々の仕事の様子を捉え，地域の人々の生活との関連を考
え，表現すること。
（イ）　消費者の願い，販売の仕方，他地域や外国との関わりなどに着目
して，販売に携わっている人々の仕事の様子を捉え，それらの仕事に
見られる工夫を考え，表現すること。",47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑶,,⑶　地域の安全を守る働きについて，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。,47
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑶,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　消防署や警察署などの関係機関は，地域の安全を守るために，相
互に連携して緊急時に対処する体制をとっていることや，関係機関が
地域の人々と協力して火災や事故などの防止に努めていることを理解
すること。
（イ）　見学・調査したり地図などの資料で調べたりして，まとめること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑶,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　施設・設備などの配置，緊急時への備えや対応などに着目して，
関係機関や地域の人々の諸活動を捉え，相互の関連や従事する人々の
働きを考え，表現すること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑷,,"⑷　市の様子の移り変わりについて，学習の問題を追究・解決する活動を通
して，次の事項を身に付けることができるよう指導する。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑷,ア,"ア　次のような知識及び技能を身に付けること。
（ア）　市や人々の生活の様子は，時間の経過に伴い，移り変わってきた
ことを理解すること。
（イ）　聞き取り調査をしたり地図などの資料で調べたりして，年表など
にまとめること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,２内容,,⑷,イ,"イ　次のような思考力，判断力，表現力等を身に付けること。
（ア）　交通や公共施設，土地利用や人口，生活の道具などの時期による
違いに着目して，市や人々の生活の様子を捉え，それらの変化を考
え，表現すること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑴,,⑴ 内容の⑴については，次のとおり取り扱うものとする。,48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑴,ア,"ア 学年の導入で扱うこととし，アの（ア）については，「自分たちの市」に
重点を置くよう配慮すること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑴,イ,"イ アの（イ）については，「白地図などにまとめる」際に，教科用図書「地
図」（以下第２章第２節において「地図帳」という。）を参照し，方位や
主な地図記号について扱うこと。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑵,,⑵ 内容の⑵については，次のとおり取り扱うものとする。,48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑵,ア,"ア アの（ア）及びイの（ア）については，事例として農家，工場などの中から
選択して取り上げるようにすること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑵,イ,"イ アの（イ）及びイの（イ）については，商店を取り上げ，「他地域や外国との
関わり」を扱う際には，地図帳などを使用して都道府県や国の名称と位
置などを調べるようにすること。",48
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑵,ウ,"ウ イの（イ）については，我が国や外国には国旗があることを理解し，そ
れを尊重する態度を養うよう配慮すること。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑶,,⑶ 内容の⑶については，次のとおり取り扱うものとする。,49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑶,ア,"ア アの（ア）の「緊急時に対処する体制をとっていること」と「防止に努
めていること」については，火災と事故はいずれも取り上げること。そ
の際，どちらかに重点を置くなど効果的な指導を工夫すること。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑶,イ,"イ イの（ア）については，社会生活を営む上で大切な法やきまりについて
扱うとともに，地域や自分自身の安全を守るために自分たちにできるこ
となどを考えたり選択・判断したりできるよう配慮すること。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑷,,⑷ 内容の⑷については，次のとおり取り扱うものとする。,49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑷,ア,"ア アの（イ）の「年表などにまとめる」際には，時期の区分について，昭
和，平成など元号を用いた言い表し方などがあることを取り上げるこ",49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑷,イ,"イ イの（ア）の「公共施設」については，市が公共施設の整備を進めてき
たことを取り上げること。その際，租税の役割に触れること。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第３学年〕,３ 内容の取扱い,,⑷,ウ,"ウ イの（ア）の「人口」を取り上げる際には，少子高齢化，国際化などに
触れ，これからの市の発展について考えることができるよう配慮するこ
社会的事象の見方・考え方を働かせ，学習の問題を追究・解決する活動を
通して，次のとおり資質・能力を育成することを目指す。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,１目標,,,,"社会的事象の見方・考え方を働かせ，学習の問題を追究・解決する活動を
通して，次のとおり資質・能力を育成することを目指す。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,１目標,,⑴,,"⑴ 自分たちの都道府県の地理的環境の特色，地域の人々の健康と生活環境
を支える働きや自然災害から地域の安全を守るための諸活動，地域の伝統
と文化や地域の発展に尽くした先人の働きなどについて，人々の生活との
関連を踏まえて理解するとともに，調査活動，地図帳や各種の具体的資料
を通して，必要な情報を調べまとめる技能を身に付けるようにする。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,１目標,,⑵,,"⑵ 社会的事象の特色や相互の関連，意味を考える力，社会に見られる課題
を把握して，その解決に向けて社会への関わり方を選択・判断する力，考
えたことや選択・判断したことを表現する力を養う。",49
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,１目標,,⑶,,"⑶ 社会的事象について，主体的に学習の問題を解決しようとする態度や，
よりよい社会を考え学習したことを社会生活に生かそうとする態度を養う
とともに，思考や理解を通して，地域社会に対する誇りと愛情，地域社会
の一員としての自覚を養う。
社 会 ２ 内 容",49
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑴,,"⑴ 都道府県（以下第２章第２節において「県」という。）の様子について，
学習の問題を追究・解決する活動を通して，次の事項を身に付けることが
できるよう指導する。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑴,ア,"ア 次のような知識及び技能を身に付けること。
（ア） 自分たちの県の地理的環境の概要を理解すること。また，47都道
府県の名称と位置を理解すること。
（イ） 地図帳や各種の資料で調べ，白地図などにまとめること。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑴,イ,"イ 次のような思考力，判断力，表現力等を身に付けること。
（ア） 我が国における自分たちの県の位置，県全体の地形や主な産業の
分布，交通網や主な都市の位置などに着目して，県の様子を捉え，地
理的環境の特色を考え，表現すること。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑵,,"⑵ 人々の健康や生活環境を支える事業について，学習の問題を追究・解決
する活動を通して，次の事項を身に付けることができるよう指導する。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑵,ア,"ア 次のような知識及び技能を身に付けること。
（ア） 飲料水，電気，ガスを供給する事業は，安全で安定的に供給でき
るよう進められていることや，地域の人々の健康な生活の維持と向上
に役立っていることを理解すること。
（イ） 廃棄物を処理する事業は，衛生的な処理や資源の有効利用ができ
るよう進められていることや，生活環境の維持と向上に役立っている
ことを理解すること。
（ウ） 見学・調査したり地図などの資料で調べたりして，まとめること。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑵,イ,"イ 次のような思考力，判断力，表現力等を身に付けること。
（ア） 供給の仕組みや経路，県内外の人々の協力などに着目して，飲料
水，電気，ガスの供給のための事業の様子を捉え，それらの事業が果
たす役割を考え，表現すること。
（イ） 処理の仕組みや再利用，県内外の人々の協力などに着目して，廃
棄物の処理のための事業の様子を捉え，その事業が果たす役割を考
え，表現すること。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑶,,"⑶ 自然災害から人々を守る活動について，学習の問題を追究・解決する活
動を通して，次の事項を身に付けることができるよう指導する。",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑶,ア,"ア 次のような知識及び技能を身に付けること。
（ア） 地域の関係機関や人々は，自然災害に対し，様々な協力をして対
処してきたことや，今後想定される災害に対し，様々な備えをしてい
ることを理解すること。
（イ） 聞き取り調査をしたり地図や年表などの資料で調べたりして，ま",50
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑶,イ,"イ 次のような思考力，判断力，表現力等を身に付けること。
（ア） 過去に発生した地域の自然災害，関係機関の協力などに着目して，
災害から人々を守る活動を捉え，その働きを考え，表現すること。",51
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑷,,"⑷ 県内の伝統や文化，先人の働きについて，学習の問題を追究・解決する
活動を通して，次の事項を身に付けることができるよう指導する。",51
elementary,SOCIAL,２各学年の目標及び内容,〔第４学年〕,２内容,,⑷,ア,"ア 次のような知識及び技能を身に付けること。
（ア） 県内の文化財や年中行事は，地域の人々が受け継いできたことや，
それらには地域の発展など人々の様々な願いが込められていることを
理解すること。
（イ） 地域の発展に尽くした先人は，様々な苦心や努力により当時の生
活の向上に貢献したことを理解すること。
（ウ） 見学・調査したり地図などの資料で調べたりして，年表などにま",51
