school_stage,subject,chapter,grade,section,subsection,category,item,content,source_page
elementary,SPECIAL_ACTIVITIES,第１　目　標,,,,,,"集団や社会の形成者としての見方・考え方を働かせ，様々な集団活動に自主
的，実践的に取り組み，互いのよさや可能性を発揮しながら集団や自己の生活上
の課題を解決することを通して，次のとおり資質・能力を育成することを目指
す。",
elementary,SPECIAL_ACTIVITIES,第１　目　標,,,,⑴,,"⑴　多様な他者と協働する様々な集団活動の意義や活動を行う上で必要となる
ことについて理解し，行動の仕方を身に付けるようにする。",
elementary,SPECIAL_ACTIVITIES,第１　目　標,,,,⑵,,"⑵　集団や自己の生活，人間関係の課題を見いだし，解決するために話し合
い，合意形成を図ったり，意思決定したりすることができるようにする。",
elementary,SPECIAL_ACTIVITIES,第１　目　標,,,,⑶,,"⑶　自主的，実践的な集団活動を通して身に付けたことを生かして，集団や社
会における生活及び人間関係をよりよく形成するとともに，自己の生き方に
ついての考えを深め，自己実現を図ろうとする態度を養う。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,１　目　標,〔学級活動〕,,,"　学級や学校での生活をよりよくするための課題を見いだし，解決するため
に話し合い，合意形成し，役割を分担して協力して実践したり，学級での話
合いを生かして自己の課題の解決及び将来の生き方を描くために意思決定し
て実践したりすることに，自主的，実践的に取り組むことを通して，第１の
目標に掲げる資質・能力を育成することを目指す。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,,,"　１の資質・能力を育成するため，全ての学年において，次の各活動を通し
て，それぞれの活動の意義及び活動を行う上で必要となることについて理解
し，主体的に考えて実践できるよう指導する。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑴,,⑴　学級や学校における生活づくりへの参画,
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑴,ア,"ア　学級や学校における生活上の諸問題の解決
　学級や学校における生活をよりよくするための課題を見いだし，解決
するために話し合い，合意形成を図り，実践すること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑴,イ,"イ　学級内の組織づくりや役割の自覚
　学級生活の充実や向上のため，児童が主体的に組織をつくり，役割を
自覚しながら仕事を分担して，協力し合い実践すること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑴,ウ,"ウ　学校における多様な集団の生活の向上
　児童会など学級の枠を超えた多様な集団における活動や学校行事を通
して学校生活の向上を図るため，学級としての提案や取組を話し合って
決めること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑵,,⑵　日常の生活や学習への適応と自己の成長及び健康安全,
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑵,ア,"ア　基本的な生活習慣の形成
　身の回りの整理や挨拶などの基本的な生活習慣を身に付け，節度ある
生活にすること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑵,イ,"イ　よりよい人間関係の形成
　学級や学校の生活において互いのよさを見付け，違いを尊重し合い，
仲よくしたり信頼し合ったりして生活すること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑵,ウ,"ウ　心身ともに健康で安全な生活態度の形成
　現在及び生涯にわたって心身の健康を保持増進することや，事件や事
故，災害等から身を守り安全に行動すること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑵,エ,"エ　食育の観点を踏まえた学校給食と望ましい食習慣の形成
　給食の時間を中心としながら，健康によい食事のとり方など，望まし
い食習慣の形成を図るとともに，食事を通して人間関係をよりよくする
こと。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑶,,⑶　一人一人のキャリア形成と自己実現,
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑶,ア,"ア　現在や将来に希望や目標をもって生きる意欲や態度の形成
　学級や学校での生活づくりに主体的に関わり，自己を生かそうとする
とともに，希望や目標をもち，その実現に向けて日常の生活をよりよく
しようとすること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑶,イ,"イ　社会参画意識の醸成や働くことの意義の理解
　清掃などの当番活動や係活動等の自己の役割を自覚して協働すること
の意義を理解し，社会の一員として役割を果たすために必要となること
について主体的に考えて行動すること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔学級活動〕,⑶,ウ,"ウ　主体的な学習態度の形成と学校図書館等の活用
　学ぶことの意義や現在及び将来の学習と自己実現とのつながりを考え
たり，自主的に学習する場としての学校図書館等を活用したりしなが
ら，学習の見通しを立て，振り返ること。",
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,３ 内容の取扱い,〔学級活動〕,⑴,,⑴ 指導に当たっては，各学年段階で特に次の事項に配慮すること。,185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,３ 内容の取扱い,〔学級活動〕,⑴,,"〔第１学年及び第２学年〕
話合いの進め方に沿って，自分の意見を発表したり，他者の意見をよく
聞いたりして，合意形成して実践することのよさを理解すること。基本的
な生活習慣や，約束やきまりを守ることの大切さを理解して行動し，生活
をよくするための目標を決めて実行すること。",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,３ 内容の取扱い,〔学級活動〕,⑴,,"〔第３学年及び第４学年〕
理由を明確にして考えを伝えたり，自分と異なる意見も受け入れたりし
ながら，集団としての目標や活動内容について合意形成を図り，実践する
こと。自分のよさや役割を自覚し，よく考えて行動するなど節度ある生活",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,３ 内容の取扱い,〔学級活動〕,⑴,,"〔第５学年及び第６学年〕
相手の思いを受け止めて聞いたり，相手の立場や考え方を理解したりし
て，多様な意見のよさを積極的に生かして合意形成を図り，実践するこ
と。高い目標をもって粘り強く努力し，自他のよさを伸ばし合うようにす",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,３ 内容の取扱い,〔学級活動〕,⑵,,"⑵ ２の⑶の指導に当たっては，学校，家庭及び地域における学習や生活の
見通しを立て，学んだことを振り返りながら，新たな学習や生活への意欲
につなげたり，将来の生き方を考えたりする活動を行うこと。その際，児
童が活動を記録し蓄積する教材等を活用すること。",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,１　目　標,〔児童会活動〕,,,"異年齢の児童同士で協力し，学校生活の充実と向上を図るための諸問題の
解決に向けて，計画を立て役割を分担し，協力して運営することに自主的，
実践的に取り組むことを通して，第１の目標に掲げる資質・能力を育成する
ことを目指す。 特別活動
１の資質・能力を育成するため，学校の全児童をもって組織する児童会に
おいて，次の各活動を通して，それぞれの活動の意義及び活動を行う上で必
要となることについて理解し，主体的に考えて実践できるよう指導する。",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔児童会活動〕,,,"　１の資質・能力を育成するため，学校の全児童をもって組織する児童会に
おいて，次の各活動を通して，それぞれの活動の意義及び活動を行う上で必
要となることについて理解し，主体的に考えて実践できるよう指導する。",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔児童会活動〕,⑴,,"⑴ 児童会の組織づくりと児童会活動の計画や運営
児童が主体的に組織をつくり，役割を分担し，計画を立て，学校生活の
課題を見いだし解決するために話し合い，合意形成を図り実践すること。",185
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔児童会活動〕,⑵,,"⑵ 異年齢集団による交流
児童会が計画や運営を行う集会等の活動において，学年や学級が異なる
児童と共に楽しく触れ合い，交流を図ること。",186
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔児童会活動〕,⑶,,"⑶ 学校行事への協力
学校行事の特質に応じて，児童会の組織を活用して，計画の一部を担当
したり，運営に協力したりすること。",186
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,各活動・学校行事の目標及び内容,３ 内容の取扱い,⑴,,"⑴ 児童会の計画や運営は，主として高学年の児童が行うこと。その際，学
校の全児童が主体的に活動に参加できるものとなるよう配慮すること。",186
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,１　目　標,〔クラブ活動〕,,,"異年齢の児童同士で協力し，共通の興味・関心を追求する集団活動の計画
を立てて運営することに自主的，実践的に取り組むことを通して，個性の伸
長を図りながら，第１の目標に掲げる資質・能力を育成することを目指す。
１の資質・能力を育成するため，主として第４学年以上の同好の児童を
もって組織するクラブにおいて，次の各活動を通して，それぞれの活動の意
義及び活動を行う上で必要となることについて理解し，主体的に考えて実践
できるよう指導する。",186
elementary,SPECIAL_ACTIVITIES,第２　各活動・学校行事の目標及び内容,,２　内　容,〔クラブ活動〕,,,"１の資質・能力を育成するため，主として第４学年以上の同好の児童を
もって組織するクラブにおいて，次の各活動を通して，それぞれの活動の意
義及び活動を行う上で必要となることについて理解し，主体的に考えて実践
できるよう指導する。",
